name,team,experience,ewa,salary
Kent Bazemore,ATL,2,-0.6,2000000
Matt Bonner,SAS,10,-0.1,1448490
Iman Shumpert,CLE,3,0.6,1879324
Gerald Wallace,BOS,13,,10000008
Danny Granger,PHO,9,-0.6,2123733
Ray McCallum,SAC,1,0.2,762791
Greg Stiemsma,TOR,3,,981084
Anthony Tolliver,DET,7,-0.1,3000000
Al Harrington,ORL,16,,
Chuck Hayes,TOR,9,,5604375
Dante Cunningham,NOP,5,-1.5,831942
Darius Miller,NOP,2,,948296
Toney Douglas,NOP,5,,
Francisco Garcia,HOU,9,,
Pero Antic,ATL,1,-1.1,1225000
Kentavious Caldwell-Pope,DET,1,0.2,2772440
Udonis Haslem,MIA,11,-0.4,2793470
Garrett Temple,WAS,4,0.2,1040843
Darrell Arthur,DEN,6,0.4,4837500
Ryan Kelly,LAL,1,-1.7,1687125
Andrew Nicholson,ORL,2,,1706648
Chase Budinger,MIN,5,-0.7,5000000
Phil Pressey,BOS,1,0.2,751313
Steve Blake,POR,11,-1.1,2123733
Alan Anderson,BRK,5,-0.3,1304773
Tony Snell,CHI,1,0.3,1472440
Anthony Bennett,MIN,1,-0.2,5563920
Luke Ridnour,ORL,11,-0.3,2750000
Ekpe Udoh,LAC,4,,981084
Luc Mbah a Moute,PHI,6,-0.4,4691288
Jason Thompson,SAC,6,-1.7,6037500
Kirk Hinrich,CHI,11,-2.5,2793470
John Salmons,PHO,12,,
Willie Green,ORL,11,-0.9,1407666
Norris Cole,NOP,3,-0.6,1082560
Ben McLemore,SAC,1,-0.7,3026280
Kendrick Perkins,CLE,11,-1.8,434547
Hedo Turkoglu,LAC,14,,1448490
Charlie Villanueva,DAL,9,,1316809
Brandon Roy,POR,5,,
Ben Gordon,ORL,10,,4500000
Derrick Rose,CHI,5,,18862876
Danilo Gallinari,DEN,6,,10500000
Kobe Bryant,LAL,18,,24250000
Josh Childress,PHO,7,,
Greg Smith,DAL,3,,481884
Darius Morris,BRK,2,,605157
Shavlik Randolph,BOS,7,,767011
Ronnie Price,LAL,9,,1316809
Reggie Williams,SAS,5,,350291
Metta World Peace,,15,,
Landry Fields,TOR,4,,6250000
JaVale McGee,PHI,6,,11000000
Jason Maxiell,CHO,9,,1316809
Brandon Rush,GSW,6,,1208325
Troy Daniels,CHO,1,,881879
Ryan Hollins,SAC,8,,1310286
Joel Anthony,DET,7,,3650000
Jerome Jordan,BRK,1,,816482
Grant Jerrett,UTA,0,,966800
Donald Sloan,IND,3,,916228
DeJuan Blair,WAS,5,,2000000
Dahntay Jones,LAC,10,,613478
Cole Aldrich,NYK,4,,981084
Chris Copeland,IND,2,,3067500
Zach LaVine,MIN,0,,2102100
Will Barton,DEN,2,,751372
Wayne Ellington,LAL,5,,1063384
Vitor Faverani,BOS,1,,2060000
Victor Claver,DEN,2,,1333333
Tyrus Thomas,CHO,6,,
Tyler Ennis,MIL,0,,1626540
Tony Mitchell,PHO,1,,
T.J. Warren,PHO,0,,1997100
Solomon Hill,IND,1,,1302800
Shannon Brown,,8,,
Shane Larkin,NYK,1,,1571520
Shabazz Napier,MIA,0,,1266540
Sergey Karasev,BRK,1,,1533840
Sebastian Telfair,OKC,9,,
Rodney Hood,UTA,0,,1319400
Robert Covington,PHI,1,,1050000
Reggie Bullock,PHO,1,,1200720
Quincy Pondexter,NOP,4,,1421720
Otto Porter Jr.,WAS,1,,4470480
Noah Vonleh,CHO,0,,2580960
Nikola Mirotic,CHI,0,,5543725
Nik Stauskas,SAC,0,,2807640
Nerlens Noel,PHI,0,,3315080
Nemanja Nedovic,GSW,,,
Mitch McGary,OKC,0,,1431540
Miroslav Raduljica,LAC,1,,
Meyers Leonard,POR,2,,2435620
Marquis Teague,PHI,2,,
Marcus Smart,BOS,0,,3357180
Luigi Datome,BOS,1,,1750000
Louis Amundson,NYK,8,,585775
Leandro Barbosa,GSW,11,,1448490
Lance Thomas,NYK,3,,423885
Kyle Anderson,SAS,0,,1118280
Jusuf Nurkic,DEN,0,,1802340
Julius Randle,LAL,0,,3064800
Jose Barea,DAL,8,,1310286
Jordan Adams,MEM,0,,1374360
